date,SACTMIN,Ride
2016-03-02,4.0,Rock N Rollercoaster
2016-03-03,26.0,Rock N Rollercoaster
2016-03-04,25.0,Rock N Rollercoaster
2016-03-05,37.0,Rock N Rollercoaster
2016-03-06,,Rock N Rollercoaster
2016-03-07,30.714285714285715,Rock N Rollercoaster
2016-03-08,46.0,Rock N Rollercoaster
2016-03-09,15.2,Rock N Rollercoaster
2016-03-10,,Rock N Rollercoaster
2016-03-11,35.666666666666664,Rock N Rollercoaster
2016-03-12,,Rock N Rollercoaster
2016-03-13,53.5,Rock N Rollercoaster
2016-03-14,63.0,Rock N Rollercoaster
2016-03-15,43.0,Rock N Rollercoaster
2016-03-16,56.0,Rock N Rollercoaster
2016-03-17,15.0,Rock N Rollercoaster
2016-03-18,22.0,Rock N Rollercoaster
2016-03-19,46.0,Rock N Rollercoaster
2016-03-20,20.0,Rock N Rollercoaster
2016-03-21,26.25,Rock N Rollercoaster
2016-03-22,16.0,Rock N Rollercoaster
2016-03-23,52.0,Rock N Rollercoaster
2016-03-24,33.0,Rock N Rollercoaster
2016-03-25,120.0,Rock N Rollercoaster
2016-03-26,,Rock N Rollercoaster
2016-03-27,43.4,Rock N Rollercoaster
2016-03-28,56.0,Rock N Rollercoaster
2016-03-29,20.0,Rock N Rollercoaster
2016-03-30,,Rock N Rollercoaster
2016-03-31,42.0,Rock N Rollercoaster
2016-04-01,36.5,Rock N Rollercoaster
2016-04-02,,Rock N Rollercoaster
2016-04-03,31.0,Rock N Rollercoaster
2016-04-04,38.0,Rock N Rollercoaster
2016-04-05,45.1,Rock N Rollercoaster
2016-04-06,71.5,Rock N Rollercoaster
2016-04-07,12.0,Rock N Rollercoaster
2016-04-08,26.5,Rock N Rollercoaster
2016-04-09,34.5,Rock N Rollercoaster
2016-04-10,18.5,Rock N Rollercoaster
2016-04-11,10.0,Rock N Rollercoaster
2016-04-12,28.0,Rock N Rollercoaster
2016-04-13,,Rock N Rollercoaster
2016-04-14,27.5,Rock N Rollercoaster
2016-04-15,21.0,Rock N Rollercoaster
2016-04-16,17.5,Rock N Rollercoaster
2016-04-17,14.0,Rock N Rollercoaster
2016-04-18,46.0,Rock N Rollercoaster
2016-04-19,26.5,Rock N Rollercoaster
2016-04-20,23.5,Rock N Rollercoaster
2016-04-21,31.0,Rock N Rollercoaster
2016-04-22,32.333333333333336,Rock N Rollercoaster
2016-04-23,43.25,Rock N Rollercoaster
2016-04-24,,Rock N Rollercoaster
2016-04-25,50.0,Rock N Rollercoaster
2016-04-26,38.333333333333336,Rock N Rollercoaster
2016-04-27,61.5,Rock N Rollercoaster
2016-04-28,6.0,Rock N Rollercoaster
2016-04-29,114.0,Rock N Rollercoaster
2016-04-30,36.5,Rock N Rollercoaster
2016-05-01,25.0,Rock N Rollercoaster
2016-05-02,18.0,Rock N Rollercoaster
2016-05-03,14.222222222222221,Rock N Rollercoaster
2016-05-04,16.0,Rock N Rollercoaster
2016-05-05,,Rock N Rollercoaster
2016-05-06,17.0,Rock N Rollercoaster
2016-05-07,6.0,Rock N Rollercoaster
2016-05-08,17.6,Rock N Rollercoaster
2016-05-09,22.666666666666668,Rock N Rollercoaster
2016-05-10,11.555555555555555,Rock N Rollercoaster
2016-05-11,12.0,Rock N Rollercoaster
2016-05-12,,Rock N Rollercoaster
2016-05-13,33.2,Rock N Rollercoaster
2016-05-14,,Rock N Rollercoaster
2016-05-15,26.333333333333332,Rock N Rollercoaster
2016-05-16,19.5,Rock N Rollercoaster
2016-05-17,26.833333333333332,Rock N Rollercoaster
2016-05-18,17.666666666666668,Rock N Rollercoaster
2016-05-19,8.666666666666666,Rock N Rollercoaster
2016-05-20,19.0,Rock N Rollercoaster
2016-05-21,,Rock N Rollercoaster
2016-05-22,16.0,Rock N Rollercoaster
2016-05-23,35.75,Rock N Rollercoaster
2016-05-24,17.0,Rock N Rollercoaster
2016-05-25,55.0,Rock N Rollercoaster
2016-05-26,16.0,Rock N Rollercoaster
2016-05-27,19.0,Rock N Rollercoaster
2016-05-28,41.0,Rock N Rollercoaster
2016-05-29,31.428571428571427,Rock N Rollercoaster
2016-05-30,15.0,Rock N Rollercoaster
2016-05-31,,Rock N Rollercoaster
2016-06-01,76.5,Rock N Rollercoaster
2016-06-02,63.0,Rock N Rollercoaster
2016-06-03,28.333333333333332,Rock N Rollercoaster
2016-06-04,16.0,Rock N Rollercoaster
2016-06-05,43.5,Rock N Rollercoaster
2016-06-06,21.0,Rock N Rollercoaster
2016-06-07,,Rock N Rollercoaster
2016-06-08,48.5,Rock N Rollercoaster
2016-06-09,28.0,Rock N Rollercoaster
2016-06-10,28.0,Rock N Rollercoaster
2016-06-11,45.5,Rock N Rollercoaster
2016-06-12,21.333333333333332,Rock N Rollercoaster
2016-06-13,57.666666666666664,Rock N Rollercoaster
2016-06-14,31.0,Rock N Rollercoaster
2016-06-15,,Rock N Rollercoaster
2016-06-16,55.0,Rock N Rollercoaster
2016-06-17,40.8,Rock N Rollercoaster
2016-06-18,27.0,Rock N Rollercoaster
2016-06-19,16.571428571428573,Rock N Rollercoaster
2016-06-20,17.0,Rock N Rollercoaster
2016-06-21,36.5,Rock N Rollercoaster
2016-06-22,23.0,Rock N Rollercoaster
2016-06-23,28.0,Rock N Rollercoaster
2016-06-24,,Rock N Rollercoaster
2016-06-25,53.0,Rock N Rollercoaster
2016-06-26,10.0,Rock N Rollercoaster
2016-06-27,,Rock N Rollercoaster
2016-06-28,,Rock N Rollercoaster
2016-06-29,24.5,Rock N Rollercoaster
2016-06-30,37.0,Rock N Rollercoaster
2016-07-01,40.0,Rock N Rollercoaster
2016-07-02,27.0,Rock N Rollercoaster
2016-07-03,32.25,Rock N Rollercoaster
2016-07-04,,Rock N Rollercoaster
2016-07-05,45.0,Rock N Rollercoaster
2016-07-06,9.0,Rock N Rollercoaster
2016-07-07,21.0,Rock N Rollercoaster
2016-07-08,49.5,Rock N Rollercoaster
2016-07-09,,Rock N Rollercoaster
2016-07-10,13.0,Rock N Rollercoaster
2016-07-11,,Rock N Rollercoaster
2016-07-12,,Rock N Rollercoaster
2016-07-13,,Rock N Rollercoaster
2016-07-14,24.5,Rock N Rollercoaster
2016-07-15,43.8,Rock N Rollercoaster
2016-07-16,32.0,Rock N Rollercoaster
2016-07-17,,Rock N Rollercoaster
2016-07-18,,Rock N Rollercoaster
2016-07-19,40.0,Rock N Rollercoaster
2016-07-20,44.5,Rock N Rollercoaster
2016-07-21,30.0,Rock N Rollercoaster
2016-07-22,75.0,Rock N Rollercoaster
2016-07-23,,Rock N Rollercoaster
2016-07-24,66.66666666666667,Rock N Rollercoaster
2016-07-25,14.0,Rock N Rollercoaster
2016-07-26,,Rock N Rollercoaster
2016-07-27,,Rock N Rollercoaster
2016-07-28,22.25,Rock N Rollercoaster
2016-07-29,,Rock N Rollercoaster
2016-07-30,15.0,Rock N Rollercoaster
2016-07-31,23.5,Rock N Rollercoaster
2016-08-01,32.0,Rock N Rollercoaster
2016-08-02,,Rock N Rollercoaster
2016-08-03,21.0,Rock N Rollercoaster
2016-08-04,,Rock N Rollercoaster
2016-08-05,36.333333333333336,Rock N Rollercoaster
2016-08-06,10.0,Rock N Rollercoaster
2016-08-07,13.0,Rock N Rollercoaster
2016-08-08,35.0,Rock N Rollercoaster
2016-08-09,13.0,Rock N Rollercoaster
2016-08-10,,Rock N Rollercoaster
2016-08-11,30.0,Rock N Rollercoaster
2016-08-12,,Rock N Rollercoaster
2016-08-13,,Rock N Rollercoaster
2016-08-14,28.5,Rock N Rollercoaster
2016-08-15,48.0,Rock N Rollercoaster
2016-08-16,,Rock N Rollercoaster
2016-08-17,27.0,Rock N Rollercoaster
2016-08-18,,Rock N Rollercoaster
2016-08-19,25.6,Rock N Rollercoaster
2016-08-20,,Rock N Rollercoaster
2016-08-21,30.5,Rock N Rollercoaster
2016-08-22,20.0,Rock N Rollercoaster
2016-08-23,6.5,Rock N Rollercoaster
2016-08-24,41.625,Rock N Rollercoaster
2016-08-25,30.5,Rock N Rollercoaster
2016-08-26,22.0,Rock N Rollercoaster
2016-08-27,24.5,Rock N Rollercoaster
2016-08-28,83.0,Rock N Rollercoaster
2016-08-29,24.0,Rock N Rollercoaster
2016-08-30,13.5,Rock N Rollercoaster
2016-08-31,37.0,Rock N Rollercoaster
2016-09-01,8.0,Rock N Rollercoaster
2016-09-02,,Rock N Rollercoaster
2016-09-03,16.0,Rock N Rollercoaster
2016-09-04,39.0,Rock N Rollercoaster
2016-09-05,15.0,Rock N Rollercoaster
2016-09-06,14.333333333333334,Rock N Rollercoaster
2016-09-07,11.0,Rock N Rollercoaster
2016-09-08,26.0,Rock N Rollercoaster
2016-09-09,,Rock N Rollercoaster
2016-09-10,,Rock N Rollercoaster
2016-09-11,28.0,Rock N Rollercoaster
2016-09-12,25.0,Rock N Rollercoaster
2016-09-13,5.0,Rock N Rollercoaster
2016-09-14,12.8,Rock N Rollercoaster
2016-09-15,16.0,Rock N Rollercoaster
2016-09-16,39.0,Rock N Rollercoaster
2016-09-17,,Rock N Rollercoaster
2016-09-18,8.5,Rock N Rollercoaster
2016-09-19,27.8,Rock N Rollercoaster
2016-09-20,25.5,Rock N Rollercoaster
2016-09-21,11.0,Rock N Rollercoaster
2016-09-22,20.555555555555557,Rock N Rollercoaster
2016-09-23,,Rock N Rollercoaster
2016-09-24,37.0,Rock N Rollercoaster
2016-09-25,14.25,Rock N Rollercoaster
2016-09-26,18.2,Rock N Rollercoaster
2016-09-27,10.75,Rock N Rollercoaster
2016-09-28,32.0,Rock N Rollercoaster
2016-09-29,15.0,Rock N Rollercoaster
2016-09-30,24.428571428571427,Rock N Rollercoaster
2016-10-01,,Rock N Rollercoaster
2016-10-02,17.0,Rock N Rollercoaster
2016-10-03,,Rock N Rollercoaster
2016-10-04,10.0,Rock N Rollercoaster
2016-10-05,36.5,Rock N Rollercoaster
2016-10-06,17.5,Rock N Rollercoaster
2016-10-07,,Rock N Rollercoaster
2016-10-08,31.5,Rock N Rollercoaster
2016-10-09,22.666666666666668,Rock N Rollercoaster
2016-10-10,11.0,Rock N Rollercoaster
2016-10-11,29.0,Rock N Rollercoaster
2016-10-12,16.0,Rock N Rollercoaster
2016-10-13,21.0,Rock N Rollercoaster
2016-10-14,47.5,Rock N Rollercoaster
2016-10-15,,Rock N Rollercoaster
2016-10-16,22.0,Rock N Rollercoaster
2016-10-17,45.0,Rock N Rollercoaster
2016-10-18,,Rock N Rollercoaster
2016-10-19,10.0,Rock N Rollercoaster
2016-10-20,47.0,Rock N Rollercoaster
2016-10-21,40.0,Rock N Rollercoaster
2016-10-22,45.0,Rock N Rollercoaster
2016-10-23,27.0,Rock N Rollercoaster
2016-10-24,36.333333333333336,Rock N Rollercoaster
2016-10-25,19.8,Rock N Rollercoaster
2016-10-26,20.0,Rock N Rollercoaster
2016-10-27,,Rock N Rollercoaster
2016-10-28,,Rock N Rollercoaster
2016-10-29,,Rock N Rollercoaster
2016-10-30,,Rock N Rollercoaster
2016-10-31,,Rock N Rollercoaster
2016-11-01,,Rock N Rollercoaster
2016-11-02,,Rock N Rollercoaster
2016-11-03,,Rock N Rollercoaster
2016-11-04,,Rock N Rollercoaster
2016-11-05,,Rock N Rollercoaster
2016-11-06,,Rock N Rollercoaster
2016-11-07,,Rock N Rollercoaster
2016-11-08,,Rock N Rollercoaster
2016-11-09,,Rock N Rollercoaster
2016-11-10,34.45454545454545,Rock N Rollercoaster
2016-11-11,39.0,Rock N Rollercoaster
2016-11-12,20.0,Rock N Rollercoaster
2016-11-13,22.0,Rock N Rollercoaster
2016-11-14,17.0,Rock N Rollercoaster
2016-11-15,28.0,Rock N Rollercoaster
2016-11-16,12.6,Rock N Rollercoaster
2016-11-17,26.0,Rock N Rollercoaster
2016-11-18,18.571428571428573,Rock N Rollercoaster
2016-11-19,,Rock N Rollercoaster
2016-11-20,22.333333333333332,Rock N Rollercoaster
2016-11-21,74.5,Rock N Rollercoaster
2016-11-22,45.333333333333336,Rock N Rollercoaster
2016-11-23,,Rock N Rollercoaster
2016-11-24,,Rock N Rollercoaster
2016-11-25,29.5,Rock N Rollercoaster
2016-11-26,,Rock N Rollercoaster
2016-11-27,,Rock N Rollercoaster
2016-11-28,25.0,Rock N Rollercoaster
2016-11-29,3.0,Rock N Rollercoaster
2016-11-30,8.0,Rock N Rollercoaster
2016-12-01,32.4,Rock N Rollercoaster
2016-12-02,28.0,Rock N Rollercoaster
2016-12-03,13.666666666666666,Rock N Rollercoaster
2016-12-04,33.0,Rock N Rollercoaster
2016-12-05,12.0,Rock N Rollercoaster
2016-12-06,36.0,Rock N Rollercoaster
2016-12-07,29.5,Rock N Rollercoaster
2016-12-08,40.5,Rock N Rollercoaster
2016-12-09,16.5,Rock N Rollercoaster
2016-12-10,15.0,Rock N Rollercoaster
2016-12-11,29.333333333333332,Rock N Rollercoaster
2016-12-12,68.5,Rock N Rollercoaster
2016-12-13,37.0,Rock N Rollercoaster
2016-12-14,,Rock N Rollercoaster
2016-12-15,39.333333333333336,Rock N Rollercoaster
2016-12-16,38.0,Rock N Rollercoaster
2016-12-17,29.333333333333332,Rock N Rollercoaster
2016-12-18,36.5,Rock N Rollercoaster
2016-12-19,49.0,Rock N Rollercoaster
2016-12-20,38.0,Rock N Rollercoaster
2016-12-21,22.0,Rock N Rollercoaster
2016-12-22,39.0,Rock N Rollercoaster
2016-12-23,12.0,Rock N Rollercoaster
2016-12-24,,Rock N Rollercoaster
2016-12-25,25.0,Rock N Rollercoaster
2016-12-26,7.0,Rock N Rollercoaster
2016-12-27,48.0,Rock N Rollercoaster
2016-12-28,18.0,Rock N Rollercoaster
2016-12-29,53.0,Rock N Rollercoaster
2016-12-30,12.0,Rock N Rollercoaster
2016-12-31,,Rock N Rollercoaster
2017-01-01,,Rock N Rollercoaster
2017-01-02,22.333333333333332,Rock N Rollercoaster
2017-01-03,22.0,Rock N Rollercoaster
2017-01-04,36.0,Rock N Rollercoaster
2017-01-05,51.5,Rock N Rollercoaster
2017-01-06,59.0,Rock N Rollercoaster
2017-01-07,40.0,Rock N Rollercoaster
2017-01-08,54.0,Rock N Rollercoaster
2017-01-09,55.25,Rock N Rollercoaster
2017-01-10,,Rock N Rollercoaster
2017-01-11,18.0,Rock N Rollercoaster
2017-01-12,,Rock N Rollercoaster
2017-01-13,20.333333333333332,Rock N Rollercoaster
2017-01-14,83.0,Rock N Rollercoaster
2017-01-15,,Rock N Rollercoaster
2017-01-16,80.0,Rock N Rollercoaster
2017-01-17,21.5,Rock N Rollercoaster
2017-01-18,24.5,Rock N Rollercoaster
2017-01-19,29.0,Rock N Rollercoaster
2017-01-20,23.0,Rock N Rollercoaster
2017-01-21,63.0,Rock N Rollercoaster
2017-01-22,,Rock N Rollercoaster
2017-01-23,,Rock N Rollercoaster
2017-01-24,17.5,Rock N Rollercoaster
2017-01-25,,Rock N Rollercoaster
2017-01-26,13.0,Rock N Rollercoaster
2017-01-27,27.0,Rock N Rollercoaster
2017-01-28,45.6,Rock N Rollercoaster
2017-01-29,11.0,Rock N Rollercoaster
2017-01-30,36.5,Rock N Rollercoaster
2017-01-31,,Rock N Rollercoaster
2017-02-01,11.666666666666666,Rock N Rollercoaster
2017-02-02,,Rock N Rollercoaster
2017-02-03,19.0,Rock N Rollercoaster
2017-02-04,,Rock N Rollercoaster
2017-02-05,,Rock N Rollercoaster
2017-02-06,47.0,Rock N Rollercoaster
2017-02-07,16.25,Rock N Rollercoaster
2017-02-08,,Rock N Rollercoaster
2017-02-09,8.0,Rock N Rollercoaster
2017-02-10,49.0,Rock N Rollercoaster
2017-02-11,4.0,Rock N Rollercoaster
2017-02-12,,Rock N Rollercoaster
2017-02-13,18.0,Rock N Rollercoaster
2017-02-14,20.25,Rock N Rollercoaster
2017-02-15,19.0,Rock N Rollercoaster
2017-02-16,,Rock N Rollercoaster
2017-02-17,,Rock N Rollercoaster
2017-02-18,24.0,Rock N Rollercoaster
2017-02-19,25.0,Rock N Rollercoaster
2017-02-20,51.5,Rock N Rollercoaster
2017-02-21,49.333333333333336,Rock N Rollercoaster
2017-02-22,27.666666666666668,Rock N Rollercoaster
2017-02-23,32.0,Rock N Rollercoaster
2017-02-24,25.5,Rock N Rollercoaster
2017-02-25,20.0,Rock N Rollercoaster
2017-02-26,36.5,Rock N Rollercoaster
2017-02-27,48.666666666666664,Rock N Rollercoaster
2017-02-28,15.0,Rock N Rollercoaster
2017-03-01,29.0,Rock N Rollercoaster
2017-03-02,15.333333333333334,Rock N Rollercoaster
2017-03-03,22.0,Rock N Rollercoaster
2017-03-04,48.0,Rock N Rollercoaster
2017-03-05,42.333333333333336,Rock N Rollercoaster
2017-03-06,15.2,Rock N Rollercoaster
2017-03-07,105.0,Rock N Rollercoaster
2017-03-08,47.5,Rock N Rollercoaster
2017-03-09,58.0,Rock N Rollercoaster
2017-03-10,20.0,Rock N Rollercoaster
2017-03-11,,Rock N Rollercoaster
2017-03-12,51.0,Rock N Rollercoaster
2017-03-13,31.0,Rock N Rollercoaster
2017-03-14,83.0,Rock N Rollercoaster
2017-03-15,128.0,Rock N Rollercoaster
2017-03-16,27.0,Rock N Rollercoaster
2017-03-17,27.5,Rock N Rollercoaster
2017-03-18,22.0,Rock N Rollercoaster
2017-03-19,29.5,Rock N Rollercoaster
2017-03-20,50.0,Rock N Rollercoaster
2017-03-21,31.0,Rock N Rollercoaster
2017-03-22,29.0,Rock N Rollercoaster
2017-03-23,16.0,Rock N Rollercoaster
2017-03-24,19.0,Rock N Rollercoaster
2017-03-25,56.0,Rock N Rollercoaster
2017-03-26,28.0,Rock N Rollercoaster
2017-03-27,51.0,Rock N Rollercoaster
2017-03-28,78.5,Rock N Rollercoaster
2017-03-29,45.666666666666664,Rock N Rollercoaster
2017-03-30,35.0,Rock N Rollercoaster
2017-03-31,39.0,Rock N Rollercoaster
2017-04-01,12.0,Rock N Rollercoaster
2017-04-02,35.4,Rock N Rollercoaster
2017-04-03,,Rock N Rollercoaster
2017-04-04,47.0,Rock N Rollercoaster
2017-04-05,,Rock N Rollercoaster
2017-04-06,42.0,Rock N Rollercoaster
2017-04-07,17.0,Rock N Rollercoaster
2017-04-08,51.0,Rock N Rollercoaster
2017-04-09,59.0,Rock N Rollercoaster
2017-04-10,38.5,Rock N Rollercoaster
2017-04-11,,Rock N Rollercoaster
2017-04-12,,Rock N Rollercoaster
2017-04-13,56.0,Rock N Rollercoaster
2017-04-14,22.0,Rock N Rollercoaster
2017-04-15,70.0,Rock N Rollercoaster
2017-04-16,20.0,Rock N Rollercoaster
2017-04-17,,Rock N Rollercoaster
2017-04-18,,Rock N Rollercoaster
2017-04-19,40.666666666666664,Rock N Rollercoaster
2017-04-20,60.0,Rock N Rollercoaster
2017-04-21,29.0,Rock N Rollercoaster
2017-04-22,8.0,Rock N Rollercoaster
2017-04-23,23.5,Rock N Rollercoaster
2017-04-24,27.666666666666668,Rock N Rollercoaster
2017-04-25,16.5,Rock N Rollercoaster
2017-04-26,11.0,Rock N Rollercoaster
2017-04-27,22.5,Rock N Rollercoaster
2017-04-28,22.0,Rock N Rollercoaster
2017-04-29,72.0,Rock N Rollercoaster
2017-04-30,13.0,Rock N Rollercoaster
2017-05-01,,Rock N Rollercoaster
2017-05-02,20.333333333333332,Rock N Rollercoaster
2017-05-03,,Rock N Rollercoaster
2017-05-04,37.0,Rock N Rollercoaster
2017-05-05,29.75,Rock N Rollercoaster
2017-05-06,47.0,Rock N Rollercoaster
2017-05-07,25.0,Rock N Rollercoaster
2017-05-08,37.0,Rock N Rollercoaster
2017-05-09,19.0,Rock N Rollercoaster
2017-05-10,29.5,Rock N Rollercoaster
2017-05-11,33.5,Rock N Rollercoaster
2017-05-12,31.0,Rock N Rollercoaster
2017-05-13,56.0,Rock N Rollercoaster
2017-05-14,18.666666666666668,Rock N Rollercoaster
2017-05-15,,Rock N Rollercoaster
2017-05-16,,Rock N Rollercoaster
2017-05-17,,Rock N Rollercoaster
